date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:52:45	31275/31275	---M--	200	added ('OK')	image/jpeg	etag:%227a2b-66360cbc-1402bff6a515afc8;;;%22	https://eduport.webestica.com/docs/assets/images/avatar/03.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/avatar/03.jpg	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:45	28433/28433	---M--	200	added ('OK')	image/jpeg	etag:%226f11-66360cbc-4a28eea89cefa0db;;;%22	https://eduport.webestica.com/docs/assets/images/avatar/01.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/avatar/01.jpg	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:45	79790/79790	---M-Z	200	added ('OK')	application/x-javascript	etag:%22137ae-66360cb6-b94939a8f10ffc12;gz%22	https://eduport.webestica.com/docs/assets/js/bootstrap.bundle.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/js/bootstrap.bundle.min.js	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:46	183900/183900	---M--	200	added ('OK')	image/jpeg	etag:%222ce5c-66360cc6-a4dfbbe5b318b00;;;%22	https://eduport.webestica.com/docs/assets/images/bg/07.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/bg/07.jpg	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:46	2304/2304	---M-Z	200	added ('OK')	application/x-javascript	etag:%22900-66360cb7-4d3cb1d842d3ff27;gz%22	https://eduport.webestica.com/docs/assets/js/simple-scrollbar.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/js/simple-scrollbar.min.js	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:46	36184/36184	---M-Z	200	added ('OK')	application/x-javascript	etag:%228d58-66360cb7-c05e8e9d4c899dc5;gz%22	https://eduport.webestica.com/docs/assets/js/prism.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/js/prism.js	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:46	10453/10453	---M-Z	200	added ('OK')	application/x-javascript	etag:%2228d5-66360cb5-64763d6820dd9e6;gz%22	https://eduport.webestica.com/docs/assets/js/clipboard.min.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/js/clipboard.min.js	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:47	26310/26310	---M-Z	200	added ('OK')	application/x-javascript	etag:%2266c6-66360cb6-4db632e401ab7832;gz%22	https://eduport.webestica.com/docs/assets/js/functions.js	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/js/functions.js	(from https://eduport.webestica.com/docs/snippet-hero-12.html)
09:52:47	25185/25185	---M--	200	added ('OK')	image/jpeg	etag:%226261-66360cbd-a8b57ec410f295ca;;;%22	https://eduport.webestica.com/docs/assets/images/avatar/04.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/docs/assets/images/avatar/04.jpg	(from https://eduport.webestica.com/docs/snippet-hero-13.html)
09:52:48	48188/48188	---M--	200	added ('OK')	image/jpeg	etag:%22bc3c-664daa95-5682b82f051a24ca;;;%22	https://eduport.webestica.com/assets/images/instructor/09.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/instructor/09.jpg	(from https://eduport.webestica.com/instructor-list.html)
09:52:48	29814/29814	---M-Z	200	added ('OK')	image/svg+xml	etag:%227476-664daa74-15bd8bfd2031d036;gz%22	https://eduport.webestica.com/assets/images/element/create-account.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/element/create-account.svg	(from https://eduport.webestica.com/become-instructor.html)
09:52:49	22234/22234	---M-Z	200	added ('OK')	image/svg+xml	etag:%2256da-664daa70-fef60e29efa5cd60;gz%22	https://eduport.webestica.com/assets/images/element/add-course.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/element/add-course.svg	(from https://eduport.webestica.com/become-instructor.html)
